subject_id,subject_type_id,subject_name,credits,havePrerequisite,prerequisite_id
AS125,1,ความรู้ทั่วไปเกี่ยวกับอาเซียน,3,0,
AS171,1,ภาษาเกาหลี 1,3,0,
AS172,1,ภาษาเกาหลี 2,3,1,"AS171,KO171"
AS173,1,ภาษาเขมร 1,3,0,
AS174,1,ภาษาเขมร 2,3,1,AS173
AS175,1,ภาษาพม่า 1,3,0,
AS176,1,ภาษาพม่า 2,3,1,AS175
AS177,1,ภาษามลายู 1,3,0,
AS178,1,ภาษามลายู 2,3,1,AS177
AS179,1,ภาษาเวียดนาม 1,3,0,
AS180,1,ภาษาเวียดนาม 2,3,1,AS179
AS181,1,ภาษาลาว 1,3,0,
AS182,1,ภาษาลาว 2,3,1,AS181
AS183,1,ภาษาอินโดนีเซีย 1,3,0,
AS184,1,ภาษาอินโดนีเซีย 2,3,1,AS183
CH171,1,ภาษาจีน 1,3,0,
CH172,1,ภาษาจีน 2,3,1,CH171
DSI100,1,วิทยาศาสตร์ข้อมูลสำหรับชีวิตประจำวัน,3,0,
DSI200,2,การเขียนโปรแกรมเพื่อวิเคราะห์ข้อมูล,3,0,
DSI201,2,การจัดการฐานข้อมูล,3,0,
DSI202,2,การพัฒนาซอฟต์แวร์ขั้นสมบูรณ์,3,0,
DSI203,2,การแก้ปัญหาภายใต้ความไม่แน่นอน,3,0,
DSI204,2,การคิดเชิงความน่าจะเป็น,3,0,
DSI205,2,พีชคณิตเชิงเส้นพื้นฐานสำหรับการวิเคราะห์ข้อมูล,3,0,
DSI206,2,การจัดการข้อมูลสื่อประสม,3,0,
DSI207,2,การหาค่าเหมาะที่สุดเบื้องต้น,3,0,
DSI210,2,เทคโนโลยีนวัตกรรมเพื่อผู้ประกอบการ,3,0,
DSI211,2,การตลาดในยุคของวิทยาศาสตร์ข้อมูล,3,0,
DSI212,2,การเงินและการบัญชีในยุคดิจิทัล,3,0,
DSI213,2,กฎหมายกับวิทยาศาสตร์ข้อมูลและนวัตกรรม,3,0,
DSI214,2,เทคโนโลยีสารสนเทศและนวัตกรรมข้อมูลกับการจัดการเชิงกลยุทธ์,3,0,
DSI310,2,การสำรวจและการเตรียมข้อมูล,3,0,
DSI311,2,อัลกอริทึมของวิทยาศาสตร์ข้อมูล,3,0,
DSI312,2,ระบบธุรกิจอัจฉริยะ,3,0,
DSI313,2,การวิเคราะห์การตลาด,3,0,
DSI314,2,โครงงานด้านการวิเคราะห์ข้อมูลสำหรับธุรกิจ,3,0,
DSI320,2,สถาปัตยกรรมการจัดการข้อมูล,3,0,
DSI321,2,โครงสร้างพื้นฐานคอมพิวเตอร์สำหรับการประมวลข้อมูลขนาดใหญ่,3,0,
DSI322,2,ธรรมาภิบาลข้อมูล,3,0,
DSI323,2,แพลตฟอร์มสำหรับธรรมาภิบาลข้อมูล,3,0,
DSI324,2,โครงงานด้านธรรมาภิบาลข้อมูล,3,0,
DSI380,4,ฝึกปฏิบัติงานทางวิทยาศาสตร์และนวัตกรรมข้อมูล,1,0,
